id,dire-abaddon,dire-alchemist,dire-ancient-apparition,dire-anti-mage,dire-axe,dire-bane,dire-batrider,dire-beastmaster,dire-bloodseeker,dire-bounty-hunter,dire-brewmaster,dire-bristleback,dire-broodmother,dire-centaur-warrunner,dire-chaos-knight,dire-chen,dire-clinkz,dire-clockwerk,dire-crystal-maiden,dire-dark-seer,dire-dazzle,dire-death-prophet,dire-disruptor,dire-doom,dire-dragon-knight,dire-drow-ranger,dire-earth-spirit,dire-earthshaker,dire-elder-titan,dire-ember-spirit,dire-enchantress,dire-enigma,dire-faceless-void,dire-gyrocopter,dire-huskar,dire-invoker,dire-io,dire-jakiro,dire-juggernaut,dire-keeper-of-the-light,dire-kunkka,dire-legion-commander,dire-leshrac,dire-lich,dire-lifestealer,dire-lina,dire-lion,dire-lone-druid,dire-luna,dire-lycan,dire-magnus,dire-medusa,dire-meepo,dire-mirana,dire-morphling,dire-naga-siren,dire-natures-prophet,dire-necrophos,dire-night-stalker,dire-nyx-assassin,dire-ogre-magi,dire-omniknight,dire-oracle,dire-outworld-devourer,dire-phantom-assassin,dire-phantom-lancer,dire-phoenix,dire-puck,dire-pudge,dire-pugna,dire-queen-of-pain,dire-razor,dire-riki,dire-rubick,dire-sand-king,dire-shadow-demon,dire-shadow-fiend,dire-shadow-shaman,dire-silencer,dire-skywrath-mage,dire-slardar,dire-slark,dire-sniper,dire-spectre,dire-spirit-breaker,dire-storm-spirit,dire-sven,dire-techies,dire-templar-assassin,dire-terrorblade,dire-tidehunter,dire-timbersaw,dire-tinker,dire-tiny,dire-treant-protector,dire-troll-warlord,dire-tusk,dire-undying,dire-ursa,dire-vengeful-spirit,dire-venomancer,dire-viper,dire-visage,dire-warlock,dire-weaver,dire-windranger,dire-winter-wyvern,dire-witch-doctor,dire-wraith-king,dire-zeus,duration,game_mode,match_id,radient-abaddon,radient-alchemist,radient-ancient-apparition,radient-anti-mage,radient-axe,radient-bane,radient-batrider,radient-beastmaster,radient-bloodseeker,radient-bounty-hunter,radient-brewmaster,radient-bristleback,radient-broodmother,radient-centaur-warrunner,radient-chaos-knight,radient-chen,radient-clinkz,radient-clockwerk,radient-crystal-maiden,radient-dark-seer,radient-dazzle,radient-death-prophet,radient-disruptor,radient-doom,radient-dragon-knight,radient-drow-ranger,radient-earth-spirit,radient-earthshaker,radient-elder-titan,radient-ember-spirit,radient-enchantress,radient-enigma,radient-faceless-void,radient-gyrocopter,radient-huskar,radient-invoker,radient-io,radient-jakiro,radient-juggernaut,radient-keeper-of-the-light,radient-kunkka,radient-legion-commander,radient-leshrac,radient-lich,radient-lifestealer,radient-lina,radient-lion,radient-lone-druid,radient-luna,radient-lycan,radient-magnus,radient-medusa,radient-meepo,radient-mirana,radient-morphling,radient-naga-siren,radient-natures-prophet,radient-necrophos,radient-night-stalker,radient-nyx-assassin,radient-ogre-magi,radient-omniknight,radient-oracle,radient-outworld-devourer,radient-phantom-assassin,radient-phantom-lancer,radient-phoenix,radient-puck,radient-pudge,radient-pugna,radient-queen-of-pain,radient-razor,radient-riki,radient-rubick,radient-sand-king,radient-shadow-demon,radient-shadow-fiend,radient-shadow-shaman,radient-silencer,radient-skywrath-mage,radient-slardar,radient-slark,radient-sniper,radient-spectre,radient-spirit-breaker,radient-storm-spirit,radient-sven,radient-techies,radient-templar-assassin,radient-terrorblade,radient-tidehunter,radient-timbersaw,radient-tinker,radient-tiny,radient-treant-protector,radient-troll-warlord,radient-tusk,radient-undying,radient-ursa,radient-vengeful-spirit,radient-venomancer,radient-viper,radient-visage,radient-warlock,radient-weaver,radient-windranger,radient-winter-wyvern,radient-witch-doctor,radient-wraith-king,radient-zeus,winner
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,30.08,All Random,1444892009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dire Victory
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.22,All Random,1444891171,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Radiant Victory
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,30,All Random,1444890662,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dire Victory
3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,30.11,All Random,1444890477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Radiant Victory
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.15,All Pick,1444890348,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Radiant Victory
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,30.13,Limited Hero Pool,1444890168,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Dire Victory
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,31.54,All Random,1444889949,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Radiant Victory
7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,30.57,All Pick,1444889435,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Dire Victory
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,Single Draft,1444889048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,Radiant Victory
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,30.27,Limited Hero Pool,1444889046,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Radiant Victory
